Marca temporal,Sexo,Fecha de nacimiento,Universidad,Area de estudio,¿Cón quien vive?,¿Cuál es el genero de musica que escuchas?,¿Cuál fue el motivo por el que empezó a escuchar ese genero? ,Escucha música cuando va en un medio de transporte?,Donde prefiere escuchar música?,¿Cuánto tiempo en horas dedicas para escuchar tu musica?,"Cuando escuchas una canción, consideras que  ver su videoclip influye en tu opinion sobre ella?",¿Para tí es mas importante el contenido de la canción o el ritmo?,¿Cuando escucha música?,¿La música que escuchas influye en tu forma de hablar?,Su relación con amigos depende de la clase música que ellos escuchan?,Eliges un lugar para reunirte con amigos por la clase de música que colocan en este?,,,
25/8/2018 13:18:21,Mujer,25/8/2018,Escuela militar de Ingenieria,Tecnológia,Padres,"Baladas, Electronica, Clasica, Kpop",Curiosidad,A veces,YouTube,4,Si,Ritmo,En cualquier momento,No,No,Aveces,,,
25/8/2018 13:28:34,Hombre,4/6/1999,Escuela militar de Ingenieria,Ciencias de la tierra,Solo,"Cumbia, Bachata, Folklorica",Curiosidad,A veces,Spotify,3,Si,Ambos,cuando no tiene nada mas que hacer,No,No,Si,,,
25/8/2018 13:28:35,Hombre,4/6/1999,Escuela militar de Ingenieria,Ciencias de la tierra,Solo,"Cumbia, Bachata, Folklorica",Curiosidad,A veces,Spotify,3,Si,Ambos,cuando no tiene nada mas que hacer,No,No,Si,,,
25/8/2018 13:47:38,Mujer,10/10/1999,Escuela militar de Ingenieria,Tecnológia,Madre,"Pop, Bachata",Familiares,Simpre,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ritmo,cuando no tiene nada mas que hacer,No,No,No,,,
25/8/2018 13:54:00,Mujer,17/6/2001,Escuela militar de Ingenieria,otro,Madre,"Pop, Clasica, otro",Curiosidad,A veces,YouTube,2,Si,Ambos,En cualquier momento,No,No,No,,,
25/8/2018 14:05:31,Mujer,7/8/2000,otro,Tecnológia,Madre,"Reggaton, Baladas, Electronica, Trap, Bachata",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ambos,En cualquier momento,Si,A veces,No,,,
25/8/2018 14:13:06,Hombre,4/7/2001,Escuela militar de Ingenieria,Tecnológia,Madre,Rock/Punk/Metal,Curiosidad,A veces,Reproductor de celurar (Descargadas en el dispositivo),5,No,Ambos,En cualquier momento,No,A veces,Aveces,,,
25/8/2018 14:17:19,Hombre,11/2/2018,Escuela militar de Ingenieria,Tecnológia,Padres,"Pop, Rock/Punk/Metal, Reggaton, Cumbia, Baladas, Electronica, Clasica, Trap, Bachata, Folklorica",Amistades,Simpre,Spotify,3,No,Ambos,En cualquier momento,No,No,No,,,
25/8/2018 14:17:27,Mujer,3/9/2018,Escuela militar de Ingenieria,Ciencias de la tierra,Padres,Clasica,Familiares,A veces,Reproductor de celurar (Descargadas en el dispositivo),1,No,Ritmo,En cualquier momento,No,A veces,Aveces,,,
25/8/2018 14:40:31,Hombre,14/4/2001,Escuela militar de Ingenieria,Tecnológia,Padres,"Rock/Punk/Metal, Indie, Electronica, Trap",Amistades,Nunca,Deezer,1,Si,Ambos,cuando no tiene nada mas que hacer,No,No,Aveces,,,
25/8/2018 14:49:05,Mujer,4/11/1998,Escuela militar de Ingenieria,Tecnológia,Otro,Kpop,Curiosidad,A veces,Reproductor de celurar (Descargadas en el dispositivo),4,Si,Ambos,En cualquier momento,No,No,No,,,
25/8/2018 14:50:52,Mujer,25/8/2018,Escuela militar de Ingenieria,Tecnológia,Padres,"Pop, Rock/Punk/Metal, Reggaton, Cumbia, Baladas, Electronica, Trap, Bachata, Folklorica",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),5,No,Ambos,En cualquier momento,No,No,No,,,
25/8/2018 14:52:22,Hombre,8/6/2000,Escuela militar de Ingenieria,otro,Padres,"Cumbia, Baladas, Electronica, Bachata, Folklorica",Familiares,Simpre,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ambos,En cualquier momento,No,No,No,,,
25/8/2018 14:59:01,Mujer,25/8/2018,Escuela militar de Ingenieria,Tecnológia,Padres,otro,Curiosidad,Nunca,Reproductor de celurar (Descargadas en el dispositivo),1,No,Ambos,En cualquier momento,No,No,No,,,
25/8/2018 15:09:48,Hombre,6/5/2000,Escuela militar de Ingenieria,Ciencias de la tierra,Madre,"Rock/Punk/Metal, Electronica, otro",Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),4,No,Ambos,En cualquier momento,Si,A veces,Aveces,,,
25/8/2018 15:15:26,Hombre,14/10/1999,Escuela militar de Ingenieria,Tecnológia,Padres,"Rock/Punk/Metal, Indie, Clasica, otro",Amistades,Simpre,Reproductor de celurar (Descargadas en el dispositivo),4,No,Ritmo,En cualquier momento,Si,A veces,No,,,
25/8/2018 15:52:04,Mujer,11/11/1999,Escuela militar de Ingenieria,Economía/Administrativas,Padres,"Pop, Reggaton, Cumbia, Baladas, Trap, Kpop",Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),4,Si,Ambos,En cualquier momento,No,No,No,,,
25/8/2018 16:18:33,Hombre,26/10/2001,Escuela militar de Ingenieria,Tecnológia,Padres,Baladas,Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),5,No,Contenido,En cualquier momento,No,A veces,No,,,
25/8/2018 16:23:09,Mujer,25/7/2018,Escuela militar de Ingenieria,Tecnológia,Padres,Clasica,Familiares,A veces,Reproductor de celurar (Descargadas en el dispositivo),1,Si,Contenido,En cualquier momento,No,No,No,,,
25/8/2018 16:29:38,Hombre,20/11/1999,Universidad Mayor de San Simón,Tecnológia,Madre,Reggaton,Medios de Comunicacion,Simpre,Reproductor de celurar (Descargadas en el dispositivo),3,No,Ritmo,En cualquier momento,No,No,No,,,
25/8/2018 16:44:46,Hombre,15/6/2000,Escuela militar de Ingenieria,,Madre,Indie,Curiosidad,A veces,Reproductor de celurar (Descargadas en el dispositivo),1,No,Ambos,En cualquier momento,No,No,Aveces,,,
25/8/2018 16:46:00,Hombre,25/7/1996,Universidad Mayor de San Simón,Tecnológia,Otro,Baladas,Curiosidad,Nunca,Reproductor de celurar (Descargadas en el dispositivo),1,Si,Ambos,En cualquier momento,No,No,No,,,
25/8/2018 16:49:54,Hombre,31/1/1997,Universidad Mayor de San Simón,Tecnológia,Madre,"Rock/Punk/Metal, Clasica, Bachata",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),3,No,Contenido,cuando esta solo,No,No,No,,,
25/8/2018 17:12:14,Prefiero no decirlo,25/8/2018,Simón I. Patiño,Educacion,Otro,otro,Curiosidad,Nunca,Paginas de internet gratis,5,No,Contenido,En cualquier momento,No,No,No,,,
25/8/2018 17:44:59,Mujer,19/12/1995,Católica,Economía/Administrativas,Madre,"Pop, Reggaton, Cumbia, Baladas, Bachata",Amistades,A veces,YouTube,4,No,Ambos,En cualquier momento,No,A veces,No,,,
25/8/2018 17:51:17,Mujer,25/8/2018,Escuela militar de Ingenieria,Economía/Administrativas,Padre,"Pop, Reggaton",Curiosidad,A veces,YouTube,3,No,Ritmo,En cualquier momento,No,A veces,No,,,
25/8/2018 18:07:07,Mujer,18/1/2000,Universidad Mayor de San Simón,Medicina,Madre,"Pop, Baladas, Clasica",Curiosidad,A veces,YouTube,3,No,Ambos,En cualquier momento,No,No,No,,,
25/8/2018 18:13:15,Mujer,7/11/2018,Escuela militar de Ingenieria,Tecnológia,Padres,Clasica,Familiares,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,Si,Contenido,En cualquier momento,No,No,No,,,
25/8/2018 18:29:01,Hombre,11/9/1996,Universidad Mayor de San Simón,Tecnológia,Padres,"Pop, Rock/Punk/Metal",Medios de Comunicacion,Simpre,Reproductor de celurar (Descargadas en el dispositivo),5,Si,Ambos,En cualquier momento,Si,A veces,No,,,
25/8/2018 18:30:07,Mujer,30/1/2018,Escuela militar de Ingenieria,otro,Solo,"Reggaton, otro",Amistades,Nunca,Deezer,1,No,Ambos,En cualquier momento,Si,No,No,,,
25/8/2018 18:44:27,Hombre,20/4/2000,Escuela militar de Ingenieria,Tecnológia,Madre,otro,Curiosidad,Simpre,YouTube,4,No,Ritmo,En cualquier momento,Si,No,No,,,
25/8/2018 19:46:00,Mujer,31/10/2018,Escuela militar de Ingenieria,Ciencias de la tierra,Padres,Cumbia,Curiosidad,A veces,Radio,1,No,Ritmo,cuando esta alegre,No,No,No,,,
25/8/2018 20:14:07,Hombre,26/6/2000,Escuela militar de Ingenieria,Tecnológia,Padres,otro,Medios de Comunicacion,Simpre,Reproductor de celurar (Descargadas en el dispositivo),3,No,Contenido,En cualquier momento,Si,No,Aveces,,,
25/8/2018 20:31:15,Mujer,23/4/2000,Escuela militar de Ingenieria,Ciencias de la tierra,Padres,Electronica,Amistades,A veces,YouTube,2,Si,Ambos,En cualquier momento,No,No,No,,,
25/8/2018 22:00:05,Hombre,14/4/2000,Escuela militar de Ingenieria,Tecnológia,Padres,Pop,Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),5,No,Ambos,En cualquier momento,No,No,No,,,
26/8/2018 0:16:52,Mujer,1/7/2000,Escuela militar de Ingenieria,Ciencias de la tierra,Padres,Trap,Curiosidad,A veces,Reproductor de celurar (Descargadas en el dispositivo),3,No,Ritmo,cuando esta solo,No,No,No,,,
26/8/2018 5:33:38,Mujer,4/7/2000,Escuela militar de Ingenieria,Tecnológia,Madre,Pop,Medios de Comunicacion,Nunca,YouTube,1,No,Ritmo,cuando no tiene nada mas que hacer,No,No,No,,,
26/8/2018 7:17:31,Mujer,1/5/1997,Escuela militar de Ingenieria,,Padres,Cumbia,Medios de Comunicacion,Simpre,Reproductor de celurar (Descargadas en el dispositivo),4,No,Ambos,En cualquier momento,No,No,No,,,
26/8/2018 9:05:04,Hombre,12/7/2000,Escuela militar de Ingenieria,,Solo,"Rock/Punk/Metal, Indie, Reggae",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),2,Si,Ambos,En cualquier momento,Si,No,No,,,
26/8/2018 9:24:58,Hombre,30/6/2000,Escuela militar de Ingenieria,Ciencias de la producción,Padres,"Reggaton, Baladas, Electronica, Bachata",Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,Si,Ritmo,En cualquier momento,Si,No,No,,,
26/8/2018 10:09:01,Hombre,16/8/1995,UPAL,Quimicas,Padre,"Rock/Punk/Metal, Indie, Kpop",Medios de Comunicacion,A veces,Spotify,3,No,Ritmo,cuando esta alegre,No,No,No,,,
26/8/2018 10:09:07,Hombre,16/8/1995,UPAL,Quimicas,Padre,"Rock/Punk/Metal, Indie, Kpop",Medios de Comunicacion,A veces,Spotify,3,No,Ritmo,cuando esta alegre,No,No,No,,,
26/8/2018 10:30:53,Hombre,10/4/1997,Escuela militar de Ingenieria,Tecnológia,Padres,"Rock/Punk/Metal, Baladas, Clasica",Familiares,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,Si,Contenido,En cualquier momento,Si,No,No,,,
26/8/2018 11:30:08,Hombre,17/4/2000,Universidad Mayor de San Simón,Tecnológia,Padres,Cumbia,Amistades,A veces,Spotify,2,No,Ambos,En cualquier momento,No,No,Aveces,,,
26/8/2018 13:20:52,Hombre,30/4/2000,otro,otro,Padres,"Pop, Rock/Punk/Metal, Reggaton, Reggae, Electronica, Clasica, Bachata, Folklorica",Curiosidad,Simpre,Spotify,5,Si,Ambos,En cualquier momento,No,No,No,,,
26/8/2018 14:57:56,Mujer,13/8/2000,otro,Economía/Administrativas,Padres,"Pop, Rock/Punk/Metal, Reggaton, Cumbia, Baladas, Electronica, Clasica, Bachata",Amistades,A veces,Spotify,1,No,Ambos,En cualquier momento,No,A veces,Aveces,,,
26/8/2018 17:15:06,Mujer,9/9/2018,Escuela militar de Ingenieria,Tecnológia,Solo,Kpop,Medios de Comunicacion,Simpre,YouTube,5,Si,Ambos,cuando esta solo,Si,A veces,Si,,,
26/8/2018 17:16:14,Prefiero no decirlo,19/2/2018,Escuela militar de Ingenieria,Tecnológia,Padres,Kpop,Amistades,Simpre,Spotify,5,Si,Ambos,En cualquier momento,Si,A veces,Si,,,
26/8/2018 17:40:21,Mujer,22/2/1998,Univalle,Humanidades,Padres,"Pop, Electronica",Amistades,Simpre,Reproductor de celurar (Descargadas en el dispositivo),3,No,Ambos,En cualquier momento,No,No,Aveces,,,
26/8/2018 20:49:43,Mujer,4/10/2000,Escuela militar de Ingenieria,Tecnológia,Padres,Pop,Familiares,A veces,Spotify,2,No,Ambos,En cualquier momento,No,No,No,,,
26/8/2018 22:18:30,Hombre,24/5/1995,Escuela militar de Ingenieria,Tecnológia,Padres,otro,Medios de Comunicacion,A veces,SoundCloud,3,No,Ambos,En cualquier momento,Si,No,No,,,
27/8/2018 0:58:05,Mujer,14/10/2018,Escuela militar de Ingenieria,Tecnológia,Padres,Pop,Medios de Comunicacion,A veces,YouTube,1,Si,Contenido,En cualquier momento,No,A veces,No,,,
27/8/2018 1:12:33,Hombre,4/3/2018,Escuela militar de Ingenieria,Tecnológia,Padres,Folklorica,Familiares,A veces,YouTube,2,No,Ambos,cuando no tiene nada mas que hacer,No,No,No,,,
27/8/2018 8:54:50,Hombre,16/8/1998,Escuela militar de Ingenieria,Tecnológia,Padres,"Electronica, Trap",Medios de Comunicacion,A veces,Spotify,1,No,Contenido,cuando no tiene nada mas que hacer,No,No,No,,,
27/8/2018 10:37:19,Hombre,29/1/2000,Escuela militar de Ingenieria,Tecnológia,Padres,Rock/Punk/Metal,Familiares,A veces,Spotify,2,No,Ritmo,cuando esta triste/deprimido,No,No,No,,,
27/8/2018 11:59:19,Mujer,13/2/1992,Universidad Mayor de San Simón,otro,Madre,"Pop, Reggae, Clasica, Folklorica, Católica/Cristania, otro",Curiosidad,A veces,Reproductor de celurar (Descargadas en el dispositivo),3,No,Ambos,En cualquier momento,No,No,No,,,
27/8/2018 12:29:25,Mujer,15/2/1999,otro,otro,Padres,"Rock/Punk/Metal, Reggaton, Cumbia, Reggae, Electronica, Clasica, Folklorica",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ambos,En cualquier momento,No,A veces,No,,,
27/8/2018 13:07:29,Hombre,22/11/1989,Escuela militar de Ingenieria,Ciencias de la producción,Padres,"Reggaton, Cumbia, Bachata",Amistades,Simpre,YouTube,3,Si,Contenido,cuando esta alegre,No,A veces,Aveces,,,
27/8/2018 13:36:46,Mujer,28/3/1999,otro,Economía/Administrativas,Otro,"Pop, Baladas, otro",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),5,Si,Ambos,En cualquier momento,Si,No,Aveces,,,
27/8/2018 15:56:58,Mujer,24/8/1999,Escuela militar de Ingenieria,Economía/Administrativas,Padres,"Reggaton, Cumbia, Baladas, Bachata, Folklorica",Amistades,Simpre,Reproductor de celurar (Descargadas en el dispositivo),3,No,Ambos,En cualquier momento,No,No,No,,,
27/8/2018 18:59:07,Hombre,29/5/1992,Univalle,Humanidades,Padres,Rock/Punk/Metal,Amistades,A veces,YouTube,2,Si,Contenido,En cualquier momento,Si,No,Si,,,
27/8/2018 19:05:41,Mujer,19/2/1998,Univalle,otro,Padres,"Reggaton, Cumbia, Baladas, Bachata",Amistades,Simpre,Reproductor de celurar (Descargadas en el dispositivo),4,No,Contenido,En cualquier momento,No,Sí,Si,,,
27/8/2018 19:36:00,Mujer,31/7/1997,otro,Humanidades,Padres,Rock/Punk/Metal,Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),3,No,Ambos,En cualquier momento,Si,No,No,,,
